,UUID,HOSTNAME,ALIAS,TIMESTAMP,STREAMS,PACING,THROUGHPUT (Sender),THROUGHPUT (Receiver),LATENCY (min.),LATENCY (max.),LATENCY (mean),RETRANSMITS,CONGESTION (Sender),CONGESTION (Receiver),BYTES (Receiver)
0,a61aaa6e-df78-4b4c-a6fb-a292df0c772f,10.201.1.2,hostA,2021-06-28T18:53:00.826Z,1,1gbit,1630380628,1623276822,30062,30264.5,30185.5,1535,cubic,cubic,12186858284
1,237c2326-9652-48c1-afff-c1fc78ca00da,10.201.1.2,hostA,2021-06-28T18:54:13.558Z,1,1gbit,1659031912,1652145315,30144.5,30307.5,30193,1344,cubic,cubic,12403578844
2,676c15f6-6e16-488a-b1f1-6d19826d9238,10.201.1.2,hostA,2021-06-28T20:30:47.452Z,1,1gbit,988743899.7,983358400.3,31370,31501,31422.5,0,cubic,cubic,7382614448
3,81e21bcc-135d-471c-8464-84d4fe634a2e,10.201.1.2,hostA,2021-06-28T20:32:00.530Z,1,2gbit,1976051820,1965511217,31377.5,31460.5,31420.5,0,cubic,cubic,14756187004
4,e8120a08-654a-4d83-98be-6713d1ff955e,10.201.1.2,hostA,2021-06-28T20:33:13.592Z,1,3gbit,2962443216,2946648650,31429.5,31575.5,31489,0,cubic,cubic,22122117968
5,2d42af51-8e15-46bf-99ee-9006facbe3c9,10.201.1.2,hostA,2021-06-28T20:34:26.644Z,1,4gbit,3947082060,3926023684,31385.5,31634.5,31488,0,cubic,cubic,29474841684
6,505908c8-968b-480b-8913-fc59430c3679,10.201.1.2,hostA,2021-06-28T20:35:39.719Z,1,5gbit,4928348201,4902258856,31674.5,31935.5,31826,0,cubic,cubic,36803996368
7,99f35148-cf45-4a8c-8a98-9e71898397ea,10.201.1.2,hostA,2021-06-28T20:36:52.773Z,1,6gbit,5913481969,5881715853,31744.5,31864.5,31799,0,cubic,cubic,44157328052
8,d683072d-8783-42b7-a111-8e6385d2e5a8,10.201.1.2,hostB,2021-06-28T20:38:07.707Z,1,1gbit,251205027.3,242602218,50140,51400.5,50452,22,cubic,cubic,1822568844
9,a189ca0a-4978-40e7-8672-4cde841468d6,10.201.1.2,hostB,2021-06-28T20:39:21.161Z,1,2gbit,216368946.9,199184390.7,50137.5,51039.5,50465.5,32,cubic,cubic,1496387400
10,dbc54d65-349a-43d0-97f2-1738eee31823,10.201.1.2,hostB,2021-06-28T20:40:34.618Z,1,3gbit,231431971.1,225092913,50138,50531,50276.5,20,cubic,cubic,1691024296
11,28b35546-70ab-4958-b6dc-9ffe4e056fa9,10.201.1.2,hostB,2021-06-28T20:41:48.081Z,1,4gbit,221437098.8,216267675.4,50145,51004.5,50333.5,26,cubic,cubic,1624728564
